# num_ytids=2041789, num_segs=2041789, num_unique_labels=527, num_positive_labels=4020212
# YTID, start_seconds, end_seconds, positive_labels
OVAMx6s2YSU,30.0,40.0,"/m/04rlf,/m/05zppz,/m/09x0r,/t/dd00128"
G22u2KOIhhU,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
NOCmIXHhH4I,30.0,40.0,"/m/015p6,/m/09x0r,/t/dd00128"
OLQd2tOFkX4,240.0,250.0,"/m/012f08,/m/04rlf,/t/dd00128"
6XQpgD1xHRo,30.0,40.0,"/m/03qtwd,/m/09x0r,/t/dd00128"
EoPwGvWd0bE,30.0,40.0,"/m/03qtwd,/m/09x0r,/t/dd00128"
1baytYmpcTA,140.0,150.0,"/m/07q2z82,/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00128"
KmJwQAuEYfw,560.0,570.0,"/m/09x0r,/t/dd00128"
4L4BLenn0qo,30.0,40.0,"/m/07yv9,/m/09x0r,/t/dd00128"
P-inS_ce0EU,30.0,40.0,"/m/09x0r,/t/dd00128"
Ij__9VfSnxM,40.0,50.0,"/m/09x0r,/t/dd00128"
2guNz7X6S40,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/m/09x0r,/t/dd00128"
999BuITUUNw,11.0,21.0,"/m/07jdr,/m/07yv9,/t/dd00128"
2GEt3Dm8hjo,30.0,40.0,"/m/09x0r,/t/dd00128"
IC3bgaNfm4c,330.0,340.0,"/m/09x0r,/t/dd00128"
JlqTF7pW6wQ,30.0,40.0,"/m/015p6,/m/0h0rv,/t/dd00128"
Jn0aZ_foWmk,30.0,40.0,"/m/04rlf,/m/07xzm,/t/dd00128"
JSM-p1NjS1s,160.0,170.0,"/m/07yv9,/m/0btp2,/m/0k4j,/t/dd00128"
3dtX4Blde_Q,30.0,40.0,"/m/09x0r,/t/dd00128"
KAsF2F1AizU,0.0,10.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
O5cW7N1CSm0,6.0,16.0,"/m/09x0r,/t/dd00128"
LX0w3oaoGXo,150.0,160.0,"/m/07yv9,/t/dd00128"
NgLW0Oc7pYg,440.0,450.0,"/m/04rlf,/t/dd00128"
IG61YbagJ7g,40.0,50.0,"/m/04rlf,/m/09x0r,/t/dd00128"
6mG6F0nBrtw,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/09x0r,/t/dd00128"
BIalOjDwZzU,0.0,10.0,"/m/028v0c,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128,/t/dd00134"
9DMBZUH4BhA,40.0,50.0,"/m/07yv9,/m/0k4j,/t/dd00128"
2r_-0nW2gQw,280.0,290.0,"/m/04rlf,/t/dd00128"
BX866o6wZt4,50.0,60.0,"/m/015lz1,/m/04rlf,/t/dd00128"
HySJc6omv5M,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
HeQA0Tm0tT8,30.0,40.0,"/m/09x0r,/t/dd00128"
Gt1DsEyU_2I,70.0,80.0,"/m/07qfr4h,/m/09x0r,/t/dd00128"
MQcO8vjgWZU,30.0,40.0,"/m/09x0r,/t/dd00128"
-MWxMSyHxSY,10.0,20.0,"/m/09x0r,/t/dd00128"
GOIW9R6Lwjg,0.0,10.0,"/m/09x0r,/t/dd00128"
EnYCR1Un1sM,50.0,60.0,"/t/dd00128,/t/dd00129"
8naZWXUyjqw,500.0,510.0,/t/dd00128
Kgi9U6amgRY,40.0,50.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
4_rgUEqNG6Y,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
